Site,Genus,ColonyID,Treatment_nonnum,Treatment,Replicate,Temperature,F0,Fm,Yield,Y
Shallow Lagoon,Pocillopora,SL01,Ambient,1,1,23,250,721,653,0.653
Shallow Lagoon,Pocillopora,SL02,Ambient,1,1,23,307,892,655,0.655
Shallow Lagoon,Pocillopora,SL03,Ambient,1,1,23,380,1148,668,0.668
Shallow Lagoon,Pocillopora,SL04,Ambient,1,1,23,348,1053,669,0.669
Shallow Lagoon,Pocillopora,SL05,Ambient,1,1,23,519,1504,654,0.654
Shallow Lagoon,Pocillopora,SL06,Ambient,1,1,23,330,1040,682,0.682
Shallow Lagoon,Pocillopora,SL07,Ambient,1,1,23,418,1159,639,0.639
Shallow Lagoon,Pocillopora,SL08,Ambient,1,1,23,351,954,632,0.632
Shallow Lagoon,Pocillopora,SL09,Ambient,1,1,23,467,1224,618,0.618
Shallow Lagoon,Pocillopora,SL10,Ambient,1,1,23,376,1085,653,0.653
Shallow Lagoon,Porites,SL11,Ambient,1,1,23,507,1412,640,0.64
Shallow Lagoon,Porites,SL12,Ambient,1,1,23,551,1347,590,0.59
Shallow Lagoon,Porites,SL13,Ambient,1,1,23,630,1453,566,0.566
Shallow Lagoon,Porites,SL14,Ambient,1,1,23,720,1527,528,0.528
Shallow Lagoon,Porites,SL15,Ambient,1,1,23,605,1372,559,0.559
Shallow Lagoon,Porites,SL16,Ambient,1,1,23,569,1259,548,0.548
Shallow Lagoon,Porites,SL17,Ambient,1,1,23,707,1695,582,0.582
Shallow Lagoon,Porites,SL18,Ambient,1,1,23,569,943,396,0.396
Shallow Lagoon,Porites,SL19,Ambient,1,1,23,549,1234,555,0.555
Shallow Lagoon,Porites,SL20,Ambient,1,1,23,721,1518,525,0.525
Shallow Lagoon,Pocillopora,SL01,Ambient,1,2,23,263,518,492,0.492
Shallow Lagoon,Pocillopora,SL02,Ambient,1,2,23,367,1006,635,0.635
Shallow Lagoon,Pocillopora,SL03,Ambient,1,2,23,374,1099,659,0.659
Shallow Lagoon,Pocillopora,SL04,Ambient,1,2,23,394,1128,650,0.65
Shallow Lagoon,Pocillopora,SL05,Ambient,1,2,23,435,1177,630,0.63
Shallow Lagoon,Pocillopora,SL06,Ambient,1,2,23,421,1070,606,0.606
Shallow Lagoon,Pocillopora,SL07,Ambient,1,2,23,332,978,660,0.66
Shallow Lagoon,Pocillopora,SL08,Ambient,1,2,23,312,944,669,0.669
Shallow Lagoon,Pocillopora,SL09,Ambient,1,2,23,339,921,631,0.631
Shallow Lagoon,Pocillopora,SL10,Ambient,1,2,23,352,889,604,0.604
Shallow Lagoon,Porites,SL11,Ambient,1,2,23,695,1474,528,0.528
Shallow Lagoon,Porites,SL12,Ambient,1,2,23,625,1432,563,0.563
Shallow Lagoon,Porites,SL13,Ambient,1,2,23,625,1412,557,0.557
Shallow Lagoon,Porites,SL14,Ambient,1,2,23,643,1418,546,0.546
Shallow Lagoon,Porites,SL15,Ambient,1,2,23,353,731,517,0.517
Shallow Lagoon,Porites,SL16,Ambient,1,2,23,565,1310,568,0.568
Shallow Lagoon,Porites,SL17,Ambient,1,2,23,652,1502,565,0.565
Shallow Lagoon,Porites,SL18,Ambient,1,2,23,541,1158,532,0.532
Shallow Lagoon,Porites,SL19,Ambient,1,2,23,721,1679,570,0.57
Shallow Lagoon,Porites,SL20,Ambient,1,2,23,747,1611,536,0.536
Deep Lagoon,Pocillopora,DL01,Ambient,1,1,23,356,957,628,0.628
Deep Lagoon,Pocillopora,DL02,Ambient,1,1,23,287,1036,722,0.722
Deep Lagoon,Pocillopora,DL03,Ambient,1,1,23,327,902,637,0.637
Deep Lagoon,Pocillopora,DL04,Ambient,1,1,23,283,832,659,0.659
Deep Lagoon,Pocillopora,DL05,Ambient,1,1,23,392,955,589,0.589
Deep Lagoon,Pocillopora,DL06,Ambient,1,1,23,152,430,646,0.646
Deep Lagoon,Pocillopora,DL07,Ambient,1,1,23,290,809,641,0.641
Deep Lagoon,Pocillopora,DL08,Ambient,1,1,23,289,810,643,0.643
Deep Lagoon,Pocillopora,DL09,Ambient,1,1,23,317,1014,687,0.687
