Label,Site,Genus,Treatment,Genotype,Color_type,Color,Name,Area1,Mean_frag,StdDev1,Mode1,Min1,Max1,MinThr1,MaxThr1,Label_match
DL_Poc_T1_DL01.jpg_RGB,DL,Poc,T1,DL01,RGB,R,DL_Poc_T1_DL01.jpg_RGB_01,181313,69.471,17.992,65,13,126,0,255,DL_Poc_T1_DL01
DL_Poc_T1_DL01.jpg_RGB,DL,Poc,T1,DL01,RGB,G,DL_Poc_T1_DL01.jpg_RGB_02,181313,50.488,18.553,38,4,107,0,255,DL_Poc_T1_DL01
DL_Poc_T1_DL01.jpg_RGB,DL,Poc,T1,DL01,RGB,B,DL_Poc_T1_DL01.jpg_RGB_03,181313,33.042,19.529,20,0,108,0,255,DL_Poc_T1_DL01
DL_Poc_T1_DL01.jpg_LAB,DL,Poc,T1,DL01,LAB,R,DL_Poc_T1_DL01.jpg_LAB_04,181313,22.554,8.122,19.148,1.628,44.964,-3.40E+38,3.40E+38,DL_Poc_T1_DL01
DL_Poc_T1_DL01.jpg_LAB,DL,Poc,T1,DL01,LAB,G,DL_Poc_T1_DL01.jpg_LAB_05,181313,6.213,1.721,7.132,-8.597,12.764,-3.40E+38,3.40E+38,DL_Poc_T1_DL01
DL_Poc_T1_DL01.jpg_LAB,DL,Poc,T1,DL01,LAB,B,DL_Poc_T1_DL01.jpg_LAB_06,181313,14.326,3.992,16.411,-6.394,23.468,-3.40E+38,3.40E+38,DL_Poc_T1_DL01
DL_Poc_T1_DL01.jpg_HSB,DL,Poc,T1,DL01,HSB,R,DL_Poc_T1_DL01.jpg_HSB_07,181313,20.578,11.318,20,0,250,0,255,DL_Poc_T1_DL01
DL_Poc_T1_DL01.jpg_HSB,DL,Poc,T1,DL01,HSB,G,DL_Poc_T1_DL01.jpg_HSB_08,181313,141.292,40.865,170,0,255,0,255,DL_Poc_T1_DL01
DL_Poc_T1_DL01.jpg_HSB,DL,Poc,T1,DL01,HSB,B,DL_Poc_T1_DL01.jpg_HSB_09,181313,69.524,18.036,65,13,126,0,255,DL_Poc_T1_DL01
DL_Poc_T1_DL02.jpg_RGB,DL,Poc,T1,DL02,RGB,R,DL_Poc_T1_DL02.jpg_RGB_01,225560,68.641,21.333,75,12,119,0,255,DL_Poc_T1_DL02
DL_Poc_T1_DL02.jpg_RGB,DL,Poc,T1,DL02,RGB,G,DL_Poc_T1_DL02.jpg_RGB_02,225560,52.323,20.93,47,6,107,0,255,DL_Poc_T1_DL02
DL_Poc_T1_DL02.jpg_RGB,DL,Poc,T1,DL02,RGB,B,DL_Poc_T1_DL02.jpg_RGB_03,225560,35.723,21.464,22,0,107,0,255,DL_Poc_T1_DL02
DL_Poc_T1_DL02.jpg_LAB,DL,Poc,T1,DL02,LAB,R,DL_Poc_T1_DL02.jpg_LAB_04,225560,23.012,9.361,25.411,2.368,43.476,-3.40E+38,3.40E+38,DL_Poc_T1_DL02
DL_Poc_T1_DL02.jpg_LAB,DL,Poc,T1,DL02,LAB,G,DL_Poc_T1_DL02.jpg_LAB_05,225560,4.984,2.401,6.089,-12.269,11.054,-3.40E+38,3.40E+38,DL_Poc_T1_DL02
DL_Poc_T1_DL02.jpg_LAB,DL,Poc,T1,DL02,LAB,B,DL_Poc_T1_DL02.jpg_LAB_06,225560,13.018,5.287,17.488,-7.092,23.088,-3.40E+38,3.40E+38,DL_Poc_T1_DL02
DL_Poc_T1_DL02.jpg_HSB,DL,Poc,T1,DL02,HSB,R,DL_Poc_T1_DL02.jpg_HSB_07,225560,25.729,24.576,20,0,252,0,255,DL_Poc_T1_DL02
DL_Poc_T1_DL02.jpg_HSB,DL,Poc,T1,DL02,HSB,G,DL_Poc_T1_DL02.jpg_HSB_08,225560,133.315,47.121,170,0,255,0,255,DL_Poc_T1_DL02
DL_Poc_T1_DL02.jpg_HSB,DL,Poc,T1,DL02,HSB,B,DL_Poc_T1_DL02.jpg_HSB_09,225560,69.031,21.271,75,15,119,0,255,DL_Poc_T1_DL02
DL_Poc_T1_DL03.jpg_RGB,DL,Poc,T1,DL03,RGB,R,DL_Poc_T1_DL03.jpg_RGB_01,125831,62.188,20.261,65,0,116,0,255,DL_Poc_T1_DL03
DL_Poc_T1_DL03.jpg_RGB,DL,Poc,T1,DL03,RGB,G,DL_Poc_T1_DL03.jpg_RGB_02,125831,46.799,19.84,55,0,99,0,255,DL_Poc_T1_DL03
DL_Poc_T1_DL03.jpg_RGB,DL,Poc,T1,DL03,RGB,B,DL_Poc_T1_DL03.jpg_RGB_03,125831,34.249,22.312,15,0,99,0,255,DL_Poc_T1_DL03
DL_Poc_T1_DL03.jpg_LAB,DL,Poc,T1,DL03,LAB,R,DL_Poc_T1_DL03.jpg_LAB_04,125831,20.557,8.942,14.983,0.175,40.718,-3.40E+38,3.40E+38,DL_Poc_T1_DL03
