"","Date","Time","Temperature","Date_Time","hour","day","Site","Treatment"
"217",2022-09-27,"13:00:00",23.869,"1664283600",13,27,"SL","amb"
"218",2022-09-27,"13:00:00",26.683,"2022-09-27 13:00:00",13,27,"SL","T2"
"219",2022-09-27,"13:00:00",27.075,"2022-09-27 13:00:00",13,27,"SL","T4"
"220",2022-09-27,"13:10:00",23.966,"1664284200",13,27,"SL","amb"
"221",2022-09-27,"13:10:00",26.977,"2022-09-27 13:10:00",13,27,"SL","T2"
"222",2022-09-27,"13:10:00",27.075,"2022-09-27 13:10:00",13,27,"SL","T4"
"223",2022-09-27,"13:20:00",24.062,"1664284800",13,27,"SL","amb"
"224",2022-09-27,"13:20:00",27.37,"2022-09-27 13:20:00",13,27,"SL","T2"
"225",2022-09-27,"13:20:00",27.862,"2022-09-27 13:20:00",13,27,"SL","T4"
"226",2022-09-27,"13:30:00",24.062,"1664285400",13,27,"SL","amb"
"227",2022-09-27,"13:30:00",27.862,"2022-09-27 13:30:00",13,27,"SL","T2"
"228",2022-09-27,"13:30:00",28.456,"2022-09-27 13:30:00",13,27,"SL","T4"
"229",2022-09-27,"13:40:00",24.255,"1664286000",13,27,"SL","amb"
"230",2022-09-27,"13:40:00",28.258,"2022-09-27 13:40:00",13,27,"SL","T2"
"231",2022-09-27,"13:40:00",28.953,"2022-09-27 13:40:00",13,27,"SL","T4"
"232",2022-09-27,"13:50:00",24.255,"1664286600",13,27,"SL","amb"
"233",2022-09-27,"13:50:00",28.159,"2022-09-27 13:50:00",13,27,"SL","T2"
"234",2022-09-27,"13:50:00",29.252,"2022-09-27 13:50:00",13,27,"SL","T4"
"235",2022-09-27,"14:00:00",24.255,"1664287200",14,27,"SL","amb"
"236",2022-09-27,"14:00:00",28.655,"2022-09-27 14:00:00",14,27,"SL","T2"
"237",2022-09-27,"14:00:00",29.652,"2022-09-27 14:00:00",14,27,"SL","T4"
"238",2022-09-27,"14:10:00",24.158,"1664287800",14,27,"SL","amb"
"239",2022-09-27,"14:10:00",28.655,"2022-09-27 14:10:00",14,27,"SL","T2"
"240",2022-09-27,"14:10:00",30.154,"2022-09-27 14:10:00",14,27,"SL","T4"
"241",2022-09-27,"14:20:00",24.062,"1664288400",14,27,"SL","amb"
"242",2022-09-27,"14:20:00",29.053,"2022-09-27 14:20:00",14,27,"SL","T2"
"243",2022-09-27,"14:20:00",30.457,"2022-09-27 14:20:00",14,27,"SL","T4"
"244",2022-09-27,"14:30:00",23.773,"1664289000",14,27,"SL","amb"
"245",2022-09-27,"14:30:00",29.152,"2022-09-27 14:30:00",14,27,"SL","T2"
"246",2022-09-27,"14:30:00",30.963,"2022-09-27 14:30:00",14,27,"SL","T4"
"247",2022-09-27,"14:40:00",23.677,"1664289600",14,27,"SL","amb"
"248",2022-09-27,"14:40:00",29.552,"2022-09-27 14:40:00",14,27,"SL","T2"
"249",2022-09-27,"14:40:00",31.37,"2022-09-27 14:40:00",14,27,"SL","T4"
"250",2022-09-27,"14:50:00",23.677,"1664290200",14,27,"SL","amb"
"251",2022-09-27,"14:50:00",29.452,"2022-09-27 14:50:00",14,27,"SL","T2"
"252",2022-09-27,"14:50:00",31.676,"2022-09-27 14:50:00",14,27,"SL","T4"
"253",2022-09-27,"15:00:00",23.581,"1664290800",15,27,"SL","amb"
"254",2022-09-27,"15:00:00",29.853,"2022-09-27 15:00:00",15,27,"SL","T2"
"255",2022-09-27,"15:00:00",31.983,"2022-09-27 15:00:00",15,27,"SL","T4"
"256",2022-09-27,"15:10:00",23.581,"1664291400",15,27,"SL","amb"
"257",2022-09-27,"15:10:00",30.054,"2022-09-27 15:10:00",15,27,"SL","T2"
"258",2022-09-27,"15:10:00",32.704,"2022-09-27 15:10:00",15,27,"SL","T4"
"259",2022-09-27,"15:20:00",23.581,"1664292000",15,27,"SL","amb"
"260",2022-09-27,"15:20:00",30.356,"2022-09-27 15:20:00",15,27,"SL","T2"
"261",2022-09-27,"15:20:00",33.43,"2022-09-27 15:20:00",15,27,"SL","T4"
"262",2022-09-27,"15:30:00",23.484,"1664292600",15,27,"SL","amb"
"263",2022-09-27,"15:30:00",30.457,"2022-09-27 15:30:00",15,27,"SL","T2"
"264",2022-09-27,"15:30:00",34.058,"2022-09-27 15:30:00",15,27,"SL","T4"
"265",2022-09-27,"15:40:00",23.484,"1664293200",15,27,"SL","amb"
"266",2022-09-27,"15:40:00",30.659,"2022-09-27 15:40:00",15,27,"SL","T2"
"267",2022-09-27,"15:40:00",34.691,"2022-09-27 15:40:00",15,27,"SL","T4"
"268",2022-09-27,"15:50:00",23.388,"1664293800",15,27,"SL","amb"
"269",2022-09-27,"15:50:00",30.76,"2022-09-27 15:50:00",15,27,"SL","T2"
"270",2022-09-27,"15:50:00",35.222,"2022-09-27 15:50:00",15,27,"SL","T4"
"271",2022-09-27,"16:00:00",23.388,"1664294400",16,27,"SL","amb"
"272",2022-09-27,"16:00:00",30.963,"2022-09-27 16:00:00",16,27,"SL","T2"
"273",2022-09-27,"16:00:00",35.542,"2022-09-27 16:00:00",16,27,"SL","T4"
"274",2022-09-27,"16:10:00",23.292,"1664295000",16,27,"SL","amb"
"275",2022-09-27,"16:10:00",31.064,"2022-09-27 16:10:00",16,27,"SL","T2"
"276",2022-09-27,"16:10:00",35.864,"2022-09-27 16:10:00",16,27,"SL","T4"
"277",2022-09-27,"16:20:00",23.196,"1664295600",16,27,"SL","amb"
"278",2022-09-27,"16:20:00",31.064,"2022-09-27 16:20:00",16,27,"SL","T2"
"279",2022-09-27,"16:20:00",35.649,"2022-09-27 16:20:00",16,27,"SL","T4"
"280",2022-09-27,"16:30:00",23.1,"1664296200",16,27,"SL","amb"
"281",2022-09-27,"16:30:00",31.064,"2022-09-27 16:30:00",16,27,"SL","T2"
"282",2022-09-27,"16:30:00",35.864,"2022-09-27 16:30:00",16,27,"SL","T4"
"283",2022-09-27,"16:40:00",23.004,"1664296800",16,27,"SL","amb"
"284",2022-09-27,"16:40:00",31.064,"2022-09-27 16:40:00",16,27,"SL","T2"
"285",2022-09-27,"16:40:00",35.756,"2022-09-27 16:40:00",16,27,"SL","T4"
"286",2022-09-27,"16:50:00",23.004,"1664297400",16,27,"SL","amb"
"287",2022-09-27,"16:50:00",31.064,"2022-09-27 16:50:00",16,27,"SL","T2"
"288",2022-09-27,"16:50:00",35.756,"2022-09-27 16:50:00",16,27,"SL","T4"
"289",2022-09-27,"17:00:00",22.908,"1664298000",17,27,"SL","amb"
"290",2022-09-27,"17:00:00",31.166,"2022-09-27 17:00:00",17,27,"SL","T2"
"291",2022-09-27,"17:00:00",35.864,"2022-09-27 17:00:00",17,27,"SL","T4"
"292",2022-09-27,"17:10:00",22.908,"1664298600",17,27,"SL","amb"
"293",2022-09-27,"17:10:00",31.064,"2022-09-27 17:10:00",17,27,"SL","T2"
"294",2022-09-27,"17:10:00",35.864,"2022-09-27 17:10:00",17,27,"SL","T4"
"295",2022-09-27,"17:20:00",22.908,"1664299200",17,27,"SL","amb"
"296",2022-09-27,"17:20:00",31.166,"2022-09-27 17:20:00",17,27,"SL","T2"
"297",2022-09-27,"17:20:00",35.864,"2022-09-27 17:20:00",17,27,"SL","T4"
"298",2022-09-27,"17:30:00",22.812,"1664299800",17,27,"SL","amb"
"299",2022-09-27,"17:30:00",31.166,"2022-09-27 17:30:00",17,27,"SL","T2"
"300",2022-09-27,"17:30:00",35.864,"2022-09-27 17:30:00",17,27,"SL","T4"
"301",2022-09-27,"17:40:00",22.812,"1664300400",17,27,"SL","amb"
"302",2022-09-27,"17:40:00",31.166,"2022-09-27 17:40:00",17,27,"SL","T2"
"303",2022-09-27,"17:40:00",35.864,"2022-09-27 17:40:00",17,27,"SL","T4"
"304",2022-09-27,"17:50:00",22.717,"1664301000",17,27,"SL","amb"
"305",2022-09-27,"17:50:00",31.166,"2022-09-27 17:50:00",17,27,"SL","T2"
"306",2022-09-27,"17:50:00",35.756,"2022-09-27 17:50:00",17,27,"SL","T4"
"307",2022-09-27,"18:00:00",22.717,"1664301600",18,27,"SL","amb"
"308",2022-09-27,"18:00:00",31.064,"2022-09-27 18:00:00",18,27,"SL","T2"
"309",2022-09-27,"18:00:00",35.864,"2022-09-27 18:00:00",18,27,"SL","T4"
"310",2022-09-27,"18:10:00",22.717,"1664302200",18,27,"SL","amb"
"311",2022-09-27,"18:10:00",31.064,"2022-09-27 18:10:00",18,27,"SL","T2"
"312",2022-09-27,"18:10:00",35.971,"2022-09-27 18:10:00",18,27,"SL","T4"
"313",2022-09-27,"18:20:00",22.717,"1664302800",18,27,"SL","amb"
"314",2022-09-27,"18:20:00",31.064,"2022-09-27 18:20:00",18,27,"SL","T2"
"315",2022-09-27,"18:20:00",35.756,"2022-09-27 18:20:00",18,27,"SL","T4"
"316",2022-09-27,"18:30:00",22.717,"1664303400",18,27,"SL","amb"
"317",2022-09-27,"18:30:00",31.064,"2022-09-27 18:30:00",18,27,"SL","T2"
"318",2022-09-27,"18:30:00",35.756,"2022-09-27 18:30:00",18,27,"SL","T4"
"319",2022-09-27,"18:40:00",22.621,"1664304000",18,27,"SL","amb"
"320",2022-09-27,"18:40:00",31.166,"2022-09-27 18:40:00",18,27,"SL","T2"
"321",2022-09-27,"18:40:00",35.756,"2022-09-27 18:40:00",18,27,"SL","T4"
"322",2022-09-27,"18:50:00",22.621,"1664304600",18,27,"SL","amb"
"323",2022-09-27,"18:50:00",31.166,"2022-09-27 18:50:00",18,27,"SL","T2"
"324",2022-09-27,"18:50:00",35.864,"2022-09-27 18:50:00",18,27,"SL","T4"
"325",2022-09-27,"19:00:00",22.717,"1664305200",19,27,"SL","amb"
"326",2022-09-27,"19:00:00",31.166,"2022-09-27 19:00:00",19,27,"SL","T2"
"327",2022-09-27,"19:00:00",35.864,"2022-09-27 19:00:00",19,27,"SL","T4"
"328",2022-09-27,"19:10:00",22.621,"1664305800",19,27,"SL","amb"
"329",2022-09-27,"19:10:00",31.064,"2022-09-27 19:10:00",19,27,"SL","T2"
"330",2022-09-27,"19:10:00",35.222,"2022-09-27 19:10:00",19,27,"SL","T4"
"331",2022-09-27,"19:20:00",22.621,"1664306400",19,27,"SL","amb"
"332",2022-09-27,"19:20:00",29.152,"2022-09-27 19:20:00",19,27,"SL","T2"
"333",2022-09-27,"19:20:00",31.064,"2022-09-27 19:20:00",19,27,"SL","T4"
"334",2022-09-27,"19:30:00",22.621,"1664307000",19,27,"SL","amb"
"335",2022-09-27,"19:30:00",28.456,"2022-09-27 19:30:00",19,27,"SL","T2"
"336",2022-09-27,"19:30:00",30.356,"2022-09-27 19:30:00",19,27,"SL","T4"
"337",2022-09-27,"19:40:00",22.621,"1664307600",19,27,"SL","amb"
"338",2022-09-27,"19:40:00",27.862,"2022-09-27 19:40:00",19,27,"SL","T2"
"339",2022-09-27,"19:40:00",29.452,"2022-09-27 19:40:00",19,27,"SL","T4"
"340",2022-09-27,"19:50:00",22.621,"1664308200",19,27,"SL","amb"
"341",2022-09-27,"19:50:00",27.272,"2022-09-27 19:50:00",19,27,"SL","T4"
"342",2022-09-27,"19:50:00",27.468,"2022-09-27 19:50:00",19,27,"SL","T2"
"355",2022-09-27,"20:00:00",22.621,"1664308800",20,27,"SL","amb"
"356",2022-09-27,"20:00:00",27.173,"2022-09-27 20:00:00",20,27,"SL","T2"
"357",2022-09-27,"20:00:00",27.173,"2022-09-27 20:00:00",20,27,"SL","T4"
"358",2022-09-27,"20:10:00",22.621,"1664309400",20,27,"SL","amb"
"359",2022-09-27,"20:10:00",27.075,"2022-09-27 20:10:00",20,27,"SL","T2"
"360",2022-09-27,"20:10:00",27.173,"2022-09-27 20:10:00",20,27,"SL","T4"
"361",2022-09-27,"20:20:00",22.621,"1664310000",20,27,"SL","amb"
"362",2022-09-27,"20:20:00",26.683,"2022-09-27 20:20:00",20,27,"SL","T4"
"363",2022-09-27,"20:20:00",27.075,"2022-09-27 20:20:00",20,27,"SL","T2"
"364",2022-09-27,"20:30:00",22.525,"1664310600",20,27,"SL","amb"
"365",2022-09-27,"20:30:00",27.173,"2022-09-27 20:30:00",20,27,"SL","T2"
"366",2022-09-27,"20:30:00",27.272,"2022-09-27 20:30:00",20,27,"SL","T4"
"367",2022-09-27,"20:40:00",22.621,"1664311200",20,27,"SL","amb"
"368",2022-09-27,"20:40:00",27.075,"2022-09-27 20:40:00",20,27,"SL","T2"
"369",2022-09-27,"20:40:00",27.173,"2022-09-27 20:40:00",20,27,"SL","T4"
"370",2022-09-27,"20:50:00",22.525,"1664311800",20,27,"SL","amb"
"371",2022-09-27,"20:50:00",26.879,"2022-09-27 20:50:00",20,27,"SL","T2"
"372",2022-09-27,"20:50:00",26.977,"2022-09-27 20:50:00",20,27,"SL","T4"
"373",2022-09-27,"21:00:00",22.525,"1664312400",21,27,"SL","amb"
"374",2022-09-27,"21:00:00",26.097,"2022-09-27 21:00:00",21,27,"SL","T2"
"375",2022-09-27,"21:00:00",26.488,"2022-09-27 21:00:00",21,27,"SL","T4"
"376",2022-09-27,"21:10:00",22.525,"1664313000",21,27,"SL","amb"
"377",2022-09-27,"21:10:00",25.513,"2022-09-27 21:10:00",21,27,"SL","T2"
"378",2022-09-27,"21:10:00",26.292,"2022-09-27 21:10:00",21,27,"SL","T4"
"379",2022-09-27,"21:20:00",22.525,"1664313600",21,27,"SL","amb"
"380",2022-09-27,"21:20:00",25.222,"2022-09-27 21:20:00",21,27,"SL","T2"
"381",2022-09-27,"21:20:00",26.097,"2022-09-27 21:20:00",21,27,"SL","T4"
"382",2022-09-27,"21:30:00",22.525,"1664314200",21,27,"SL","amb"
"383",2022-09-27,"21:30:00",25.028,"2022-09-27 21:30:00",21,27,"SL","T2"
"384",2022-09-27,"21:30:00",26,"2022-09-27 21:30:00",21,27,"SL","T4"
"385",2022-09-27,"21:40:00",22.525,"1664314800",21,27,"SL","amb"
"386",2022-09-27,"21:40:00",25.028,"2022-09-27 21:40:00",21,27,"SL","T2"
"387",2022-09-27,"21:40:00",26.097,"2022-09-27 21:40:00",21,27,"SL","T4"
"388",2022-09-27,"21:50:00",22.525,"1664315400",21,27,"SL","amb"
"389",2022-09-27,"21:50:00",25.708,"2022-09-27 21:50:00",21,27,"SL","T2"
"390",2022-09-27,"21:50:00",26.585,"2022-09-27 21:50:00",21,27,"SL","T4"
"391",2022-09-27,"22:00:00",22.525,"1664316000",22,27,"SL","amb"
"392",2022-09-27,"22:00:00",26.195,"2022-09-27 22:00:00",22,27,"SL","T2"
"393",2022-09-27,"22:00:00",27.075,"2022-09-27 22:00:00",22,27,"SL","T4"
"394",2022-09-27,"22:10:00",22.525,"1664316600",22,27,"SL","amb"
"395",2022-09-27,"22:10:00",26.585,"2022-09-27 22:10:00",22,27,"SL","T2"
"396",2022-09-27,"22:10:00",26.977,"2022-09-27 22:10:00",22,27,"SL","T4"
"397",2022-09-27,"22:20:00",22.621,"1664317200",22,27,"SL","amb"
"398",2022-09-27,"22:20:00",26.879,"2022-09-27 22:20:00",22,27,"SL","T2"
"399",2022-09-27,"22:20:00",26.977,"2022-09-27 22:20:00",22,27,"SL","T4"
