Genus,Site,ed50,prop_dark,Estimate,SE,Lower,Upper,Mean,Maximum,Amplitude,Minimum,DHW2020,DHW2016,Amp_max
Pocillopora,Deep Lagoon,36.07983,0.86,0.321517,0.4592921,35.17808,36.98158,24.45,30.02,1.34,18.96,,2.25,3.74
Porites,Deep Lagoon,37.40039,0.95,0.3129195,1.327121,34.7948,40.00599,24.45,30.02,1.34,18.96,,2.25,3.74
Pocillopora,Fourth Point,35.09918,0.82,0.329832,0.2377989,34.6323,35.56606,24.44,28.6,1.27,16.34,,0,3.49
Acropora,Fourth Point,35.37083,0.84,0.317173,0.2243901,34.93028,35.81139,24.44,28.6,1.27,16.34,,0,3.49
Porites,Fourth Point,37.45471,0.92,0.294466,1.9398146,33.64618,41.26323,24.44,28.6,1.27,16.34,,0,3.49
Acropora,Harry's Bommie,35.08583,0.74,0.318227,0.3443931,34.40967,35.762,24.36,28.31,1.06,17.37,5.6,0,2.37
Pocillopora,Harry's Bommie,35.39587,0.72,0.33127,0.3016837,34.80356,35.98817,24.36,28.31,1.06,17.37,5.6,0,2.37
Porites,Harry's Bommie,36.79569,0.81,0.2933165,0.3889859,36.03198,37.55941,24.36,28.31,1.06,17.37,5.6,0,2.37
Pocillopora,Reef Crest,35.88793,0.89,0.3233795,0.5201799,34.86664,36.90922,24.51,32.17,2.81,17.54,,0,7.72
Acropora,Reef Crest,36.18285,0.92,0.317984,0.2237975,35.74346,36.62224,24.51,32.17,2.81,17.54,,0,7.72
Porites,Reef Crest,36.51258,0.99,0.3026525,0.3450241,35.83518,37.18998,24.51,32.17,2.81,17.54,,0,7.72
Pocillopora,Reef Flat,36.06743,0.8,0.321701,0.474492,35.13584,36.99902,23.97,31.8,2.96,18.04,7.84,2.85,6.56
Acropora,Reef Flat,36.1359,0.82,0.317765,0.2640011,35.61757,36.65422,23.97,31.8,2.96,18.04,7.84,2.85,6.56
Porites,Reef Flat,36.31919,0.9,0.2968515,0.3283039,35.67461,36.96376,23.97,31.8,2.96,18.04,7.84,2.85,6.56
Pocillopora,Shallow Lagoon,36.80995,0.86,0.319901,0.9282213,34.98753,38.63237,24.91,30.92,2.22,18.74,7.51,2.26,4.52
Porites,Shallow Lagoon,37.7465,0.96,0.278116,3.5598836,30.75723,44.73578,24.91,30.92,2.22,18.74,7.51,2.26,4.52
